TransactionID|Date|ProductID|ProductName|Quantity|UnitPrice|CustomerID|Region|API_Category|API_Brand|API_Rating|API_Match
T001|2024-12-01|P2|Mouse Wireless|3|500.0|C001|South|beauty|Glamour Beauty|2.86|True
T002|2024-12-01|P2|Mouse Wireless|3|500.0|C002|East|beauty|Glamour Beauty|2.86|True
T003|2024-12-01|P3|Keyboard|3|1500.0|C003|North|beauty|Velvet Touch|4.64|True
T004|2024-12-01|P5|Headphones|3|2500.0|C004|North|beauty|Nail Couture|4.32|True
T005|2024-12-01|P2|Mouse Wireless|4|500.0|C005|South|beauty|Glamour Beauty|2.86|True
T006|2024-12-01|P1|Laptop|1|45000.0|C006|North|beauty|Essence|2.56|True
T007|2024-12-01|P4|Monitor|2|12000.0|C007|South|beauty|Chic Cosmetics|4.36|True
T008|2024-12-01|P2|Mouse Wireless|3|500.0|C008|South|beauty|Glamour Beauty|2.86|True
T009|2024-12-01|P4|Monitor|2|12000.0|C009|West|beauty|Chic Cosmetics|4.36|True
T010|2024-12-01|P1|Laptop|3|45000.0|C010|East|beauty|Essence|2.56|True
T011|2024-12-01|P5|Headphones|3|2500.0|C011|North|beauty|Nail Couture|4.32|True
T012|2024-12-01|P5|Headphones|2|2500.0|C012|North|beauty|Nail Couture|4.32|True
T013|2024-12-01|P3|Keyboard|3|1500.0|C013|North|beauty|Velvet Touch|4.64|True
T014|2024-12-01|P5|Headphones|1|2500.0|C014|West|beauty|Nail Couture|4.32|True
T015|2024-12-01|P4|Monitor|2|12000.0|C015|West|beauty|Chic Cosmetics|4.36|True
T016|2024-12-01|P3|Keyboard|3|1500.0|C016|West|beauty|Velvet Touch|4.64|True
T017|2024-12-01|P1|Laptop|3|45000.0|C017|West|beauty|Essence|2.56|True
T018|2024-12-01|P3|Keyboard|1|1500.0|C018|South|beauty|Velvet Touch|4.64|True
T019|2024-12-01|P5|Headphones|5|2500.0|C019|East|beauty|Nail Couture|4.32|True
T020|2024-12-01|P4|Monitor|1|12000.0|C020|North|beauty|Chic Cosmetics|4.36|True
T021|2024-12-01|P3|Keyboard|2|1500.0|C021|West|beauty|Velvet Touch|4.64|True
T022|2024-12-01|P1|Laptop|3|45000.0|C022|West|beauty|Essence|2.56|True
T023|2024-12-01|P1|Laptop|2|45000.0|C023|South|beauty|Essence|2.56|True
T024|2024-12-01|P4|Monitor|2|12000.0|C024|South|beauty|Chic Cosmetics|4.36|True
T025|2024-12-01|P4|Monitor|1|12000.0|C025|North|beauty|Chic Cosmetics|4.36|True
T026|2024-12-01|P5|Headphones|5|2500.0|C026|South|beauty|Nail Couture|4.32|True
